"","x"
"1",0.172615051269531
"2",0.163793563842773
"3",0.137090682983398
"4",0.13279914855957
"5",0.0936985015869141
"6",0.0936985015869141
"7",0.0886917114257812
"8",0.0879764556884766
"9",0.0863075256347656
"10",0.0834465026855469
"11",0.0774860382080078
"12",0.0705718994140625
"13",0.0696182250976562
"14",0.064849853515625
"15",0.0646114349365234
"16",0.0638961791992188
"17",0.0617504119873047
"18",0.0612735748291016
"19",0.0603199005126953
"20",0.0491142272949219
"21",0.0464916229248047
"22",0.0448226928710938
"23",0.0436305999755859
"24",0.0417232513427734
"25",0.0398159027099609
"26",0.0391006469726562
"27",0.0391006469726562
"28",0.0350475311279297
"29",0.0300407409667969
"30",0.0271797180175781
"31",0.0224113464355469
"32",0.0219345092773438
"33",0.0200271606445312
"34",0.019073486328125
"35",0.0178813934326172
"36",0.0147819519042969
"37",0.0135898590087891
"38",0.0135898590087891
"39",0.0116825103759766
"40",0.011444091796875
"41",0.0109672546386719
"42",0.00786781311035156
"43",0.00786781311035156
"44",0.00786781311035156
"45",0.00739097595214844
"46",0.00739097595214844
"47",0.00715255737304688
"48",0.00715255737304688
"49",0.00476837158203125
