block_size,timeout,arrival_rate,prob_timeout
20,2,50,0.0040061568445
20,2,100,0.000201077296038
20,2,150,3.11288210338e-05
20,2,200,8.01517516912e-06
20,2,250,2.75886927912e-06
20,2,300,1.14581071842e-06
20,2,350,5.42757107964e-07
20,2,400,2.83352574338e-07
20,2,450,1.59421077782e-07
20,2,500,9.51803985612e-08
40,2,50,0.0525456360856
40,2,100,0.00384224164113
40,2,150,0.000678450236754
40,2,200,0.00018677591964
40,2,250,6.6945936315e-05
40,2,300,2.85688735822e-05
40,2,350,1.37986371971e-05
40,2,400,7.3099196719e-06
40,2,450,4.15990865034e-06
40,2,500,2.50642065466e-06
80,2,50,0.361591856118
80,2,100,0.0526255119892
80,2,150,0.0119665409328
80,2,200,0.00375334958373
80,2,250,0.00145659986622
80,2,300,0.000655747034592
80,2,350,0.000329134953312
80,2,400,0.000179484714193
80,2,450,0.000104475338118
80,2,500,6.40998032865e-05
120,2,50,0.701723676158
120,2,100,0.182640827031
120,2,150,0.0526406920907
120,2,200,0.0187173246591
120,2,250,0.007847512437
120,2,300,0.00372269346642
120,2,350,0.00194042478861
120,2,400,0.0010887818173
120,2,450,0.000648061588992
120,2,500,0.000404802148873
20,1,50,0.0522433139
20,1,100,0.0040061568
20,1,200,0.0002010773
20,1,400,8.02E-06
20,1,600,0
20,1,800,0
20,1,1000,0
40,1,50,0.3523911818
40,1,100,0.0525456361
40,1,200,0.0038422416
40,1,400,0.0001867759
40,1,600,0
40,1,800,0
40,1,1000,0
60,1,50,0.6888271116
60,1,100,0.18055415
60,1,200,0.0188475257
60,1,400,0.0011124329
60,1,600,0.0001819244
60,1,800,4.82E-05
60,1,1000,0
80,1,50,0.8830066828
80,1,100,0.3615918561
80,1,200,0.052625512
80,1,400,0.0037533496
80,1,600,0.000655747
80,1,800,0.0001794847
80,1,1000,6.41E-05
100,1,50,0.9627734879
100,1,100,0.5465924454
100,1,200,0.1079696026
100,1,400,0.00925684
100,1,600,0.0017263079
100,1,800,0.0004885034
100,1,1000,0.0001780167
20,0.8,50,0.1042616728
20,0.8,100,0.0097082069
20,0.8,200,0.0005442145
20,0.8,400,2.30E-05
20,0.8,600,3.36E-06
20,0.8,800,8.38E-07
20,0.8,1000,2.83E-07
40,0.8,50,0.5280862643
40,0.8,100,0.1066307697
40,0.8,200,0.009440681
40,0.8,400,0.0005098572
40,0.8,600,8.09E-05
40,0.8,800,2.11E-05
40,0.8,1000,7.31E-06
60,0.8,50,0.8428489908
60,0.8,100,0.3121040794
60,0.8,200,0.0421903648
60,0.8,400,0.0028901712
60,0.8,600,0.0004980584
